"file","speaker","io_unit","start_time","end_time","pause_duration","io_duration","genre","glottocode","speaker_age","speaker_sex","synthesis","tone","element","sprach_dauer","part"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",65,149.813,151.014,0.448,1.201,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.753,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",66,151.014,152.194,0.54,1.18,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.64,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",67,152.194,156.279,3.785,4.085,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.3,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",68,156.279,161.82,4.512,5.541,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.029,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",69,161.82,164.24,0.336,2.42,"traditional narrative","anal1239",80,"m",NA,"yes","a",2.084,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",70,164.24,166.24,0.139,2,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.861,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",72,171.65,173.445,0.565,1.795,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.23,"part10"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",73,173.445,176.836,2.566,3.391,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.825,"part10"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",74,176.836,178.73,1.156,1.894,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.738,"part10"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",75,178.73,179.877,0.38,1.147,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.767,"part10"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",76,179.877,181.59,0.593,1.713,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.12,"part10"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",77,181.59,182.597,0.412,1.007,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.595,"part10"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",79,190.21,194.03,2.906,3.82,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.914,"part11"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",80,194.03,196.003,1.275,1.973,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.698,"part11"
